run_id,retry_limit,tx_power_dbm,mac_max_backoffs,pdr,energy
0,0,-10,1,35.0,10.5
1,0,-10,3,35.0,10.5
2,0,-10,5,35.0,10.5
3,0,0,1,50.0,15.0
4,0,0,3,50.0,15.0
5,0,0,5,50.0,15.0
6,0,5,1,57.5,25.811388300841898
7,0,5,3,57.5,25.811388300841898
8,0,5,5,57.5,25.811388300841898
9,1,-10,1,40.0,22.5
10,1,-10,3,40.0,22.5
11,1,-10,5,40.0,22.5
12,1,0,1,55.0,27.0
13,1,0,3,55.0,27.0
14,1,0,5,55.0,27.0
15,1,5,1,62.5,37.8113883008419
16,1,5,3,62.5,37.8113883008419
17,1,5,5,62.5,37.8113883008419
18,3,-10,1,50.0,46.5
19,3,-10,3,50.0,46.5
20,3,-10,5,50.0,46.5
21,3,0,1,65.0,51.0
22,3,0,3,65.0,51.0
23,3,0,5,65.0,51.0
24,3,5,1,72.5,61.8113883008419
25,3,5,3,72.5,61.8113883008419
26,3,5,5,72.5,61.8113883008419
27,5,-10,1,60.0,70.5
28,5,-10,3,60.0,70.5
29,5,-10,5,60.0,70.5
30,5,0,1,75.0,75.0
31,5,0,3,75.0,75.0
32,5,0,5,75.0,75.0
33,5,5,1,82.5,85.8113883008419
34,5,5,3,82.5,85.8113883008419
35,5,5,5,82.5,85.8113883008419
